address,beds,baths,sqft,date,price,city,type
  6174 Buckingham Pkwy Unit 103,2,2,1041,03/24/2014Excel Funding Real Estate Services inc. ,368000,Culver City,condo
  6174 Buckingham Pkwy Unit 205,1,1,837,03/25/2014RE/MAX Estate Properties ,315000,Culver City,condo
  6235 Green Valley Cir,2,3,1214,03/19/2014Berkshire Hathaway HomeService ,510000,Culver City,condo
  6315 Green Valley Cir Unit 306,2,2,1347,03/14/2014Keller Williams Porter Ranch ,375000,Culver City,condo
  6315 Hannum Ave,3,3,2018,8/10/2013,649000,Culver City,condo
  6355 Green Valley Cir Unit 211,2,2,885,03/24/2014Keller Williams Santa Monica ,375000,Culver City,condo
  6375 Green Valley Cir Unit 214,2,2,972,03/22/2014HVH Inc. ,389900,Culver City,condo
  6425 Green Valley Cir Unit 302,3,2,1524,01/15/2014Coldwell Banker Residential Brokerage - Westchester/Playa VistaFeatured ,479000,Culver City,condo
  6605 Green Valley Cir Unit 213,2,2,885,12/11/2013Coldwell Banker Residential Brokerage - Westchester/Playa VistaFeatured ,319000,Culver City,condo
  6665 Green Valley Cir Unit 320,2,2,1252,03/22/2014Jizelle Joan ,390000,Culver City,condo
  8213 Raintree Cir,1,1,740,03/18/2014TRG Realestate Group Inc. ,315000,Culver City,condo
  9202 Summertime Ln # 202,1,1,724,03/25/2014Power Brokers International ,252250,Culver City,condo
  addressunknown,3,3,1743,03/25/2014C.A. Realty Group ,720000,Culver City,condo
 5674 Windsor Way Unit 202,1,1,772,03/25/2014The Real Estate ConsultantsFeatured ,349000,Culver City,condo
 5845 Doverwood Dr Unit 112,3,3,1432,03/06/2014Real Estate eBroker Inc. ,499000,Culver City,condo
  10521 National Blvd,1,1,548,03/14/2014RE/MAX Estate Properties ,309900,Palms,condo
  10521 National Blvd Apt 107,1,1,548,03/14/2014RE/MAX ESTATE PROPERTIES ,309900,Palms,condo
  11121 Queensland St Apt B11,1,1,721,03/24/2014Sotheby's International Realty -Featured ,299000,Palms,condo
  3401 S Bentley Ave Apt 302,2,2,1170,03/24/2014ERA Matilla Realty ,585000,Palms,condo
  3618 Keystone Ave Apt 4,2,3,1364,03/17/2014New Hope Realty Inc ,520000,Palms,condo
  3637 Glendon Ave Apt 103,1,1,701,03/21/2014The Smart Money Group ,319000,Palms,condo
  3640 Cardiff Ave Apt 201,1,1,676,03/25/2014The Agency ,299000,Palms,condo
  3701 Glendon Ave Apt 9,2,3,1419,03/24/2014Coldwell Banker Residential Brokerage - Santa Monica WestwoodFeatured ,524000,Palms,condo
  9313 National Blvd Apt 101,1,1,692,03/24/2014Rodeo Realty Inc. ,349000,Palms,condo
  9313 National Blvd Apt 203,2,2,824,03/18/2014Keller WilliamsFeatured ,399000,Palms,condo
 3300 S Sepulveda Blvd Apt G9,2,2,1224,03/24/2014Keller Williams Realty Santa MonicaFeatured ,399000,Palms,condo
