address,beds,baths,sqft,date,price,city,type
  2720 Benedict Canyon Dr,7,6,6658,02/28/2014KELLER WILLIAMS BEVERLY HILLS REALTY ,4795000,Beverly Hills,sfh
  2743 Ellison Dr,2,3.5,1612,03/24/2014Sotheby's International Realty -Featured ,1950000,Beverly Hills,sfh
  2761 Hutton Dr,3,3,3185,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,2495000,Beverly Hills,sfh
  2799 Ellison Dr,3,2.5,2415,03/24/2014Sotheby's International Realty -Featured ,2295000,Beverly Hills,sfh
  2845 Royston Pl,4,6,3900,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,2825000,Beverly Hills,sfh
  3025 Benedict Canyon Dr,4,5,4069,12/21/2013Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,1695000,Beverly Hills,sfh
  3085 Franklin Canyon Dr,3,4,2781,03/22/2014Pinnacle Estate Properties In ,1700000,Beverly Hills,sfh
  3087 Deep Canyon Dr,7,7,4201,03/17/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,2595000,Beverly Hills,sfh
  3183 Abington Dr,5,6,6123,12/11/2013Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,3695000,Beverly Hills,sfh
  329 N Palm Dr,4,4,3920,02/27/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,3649000,Beverly Hills,sfh
  425 Martin Ln,5,6.5,6600,03/01/2014John Aaroe GroupFeatured ,9900000,Beverly Hills,sfh
  511 Doheny Rd,7,9,8704,01/29/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,12900000,Beverly Hills,sfh
  516 N Rexford Dr,5,4,6600,03/24/2014Rodeo Realty - Beverly Hills ,8500000,Beverly Hills,sfh
  519 N ,5,7,6195,2/27/2014,6089685,Beverly Hills,sfh
  520 N Rexford Dr,4,4,3305,03/10/2014Featured ,4695000,Beverly Hills,sfh
  525 Chalette Dr,4,6,6350,02/25/2014Hilton & HylandFeatured ,9998000,Beverly Hills,sfh
  607 N Alta Dr,6,6,5310,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,5585000,Beverly Hills,sfh
  610 Walden Dr,4,4,5586,8/23/2013,5495000,Beverly Hills,sfh
  613 Mountain Dr,7,8,13227,12/11/2013Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,24995000,Beverly Hills,sfh
  613 N Elm Dr,3,5,5625,03/25/2014Nourmand & Associates-BH ,5890000,Beverly Hills,sfh
  614 N Palm Dr,5,9,8457,03/23/2014The Agency ,9500000,Beverly Hills,sfh
  616 Foothill Rd,7,9,9888,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,9995000,Beverly Hills,sfh
  618 N Sierra Dr,5,7.5,6221,02/25/2014Hilton & Hyland ,9995000,Beverly Hills,sfh
  627 N Arden Dr,7,6.5,6006,03/03/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,8499000,Beverly Hills,sfh
  631 N Crescent Dr,6,3,3299,03/08/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,8500000,Beverly Hills,sfh
  700 N Arden Dr,5,5,4443,03/24/2014Gibson InternationalFeatured ,6495000,Beverly Hills,sfh
  701 N Hillcrest Rd,9,14,12417,03/01/2014John Aaroe Group ,1.50E+07,Beverly Hills,sfh
  709 N Beverly Dr,6,7,8762,03/04/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,12900000,Beverly Hills,sfh
  710 Walden Dr,5,6,5422,01/29/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,7399000,Beverly Hills,sfh
  711 N Beverly Dr,7,7,6311,03/14/2014Bernard E. Cohen Investments Inc. ,7500000,Beverly Hills,sfh
  729 N Camden Dr,4,4,3432,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,8750000,Beverly Hills,sfh
  801 N Doheny Dr,4,5,2983,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,2795000,Beverly Hills,sfh
  818 N Roxbury Dr,4,6,9302,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,13800000,Beverly Hills,sfh
  9011 Alto Cedro Dr,5,5.5,4069,03/18/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,6375000,Beverly Hills,sfh
  909 N ,5,6,6736,3/14/2014,11900000,Beverly Hills,sfh
  9123 Hazen Dr,4,3.5,4355,03/19/2014Teles Properties ,2850000,Beverly Hills,sfh
  9152 Janice Pl,7,9,8520,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,8395000,Beverly Hills,sfh
  917 Loma Vista Dr,7,13,12000,03/06/2014The Agency ,17900000,Beverly Hills,sfh
  917 N Crescent Dr,8,12,15000,03/04/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,16500000,Beverly Hills,sfh
  9307 Readcrest Dr,4,4.5,5200,3/21/2014,5500000,Beverly Hills,sfh
  9321 Cherokee Ln,4,5,4000,03/07/2014Hilton & Hyland ,3195000,Beverly Hills,sfh
  9324 Beverly Crest Dr,3,2.5,1700,03/24/2014Rodeo Realty Inc. ,2395000,Beverly Hills,sfh
  945 Foothill Rd,6,9,11838,03/21/2014Hilton & Hyland ,2.10E+07,Beverly Hills,sfh
  9480 Readcrest Dr,6,8,6000,02/25/2014Hilton & Hyland ,9995000,Beverly Hills,sfh
  9501 Gloaming Dr,7,6,6377,03/24/2014Westside Estate Agency ,29500000,Beverly Hills,sfh
  9504 Highridge Dr,4,5,2468,03/18/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,1795000,Beverly Hills,sfh
  9544 Oak Pass Rd,3,3,2828,03/15/2014Teles Properties Inc. ,3295000,Beverly Hills,sfh
  9565 Cherokee Ln,5,5,4222,01/29/2014Regent Brokergae Co. ,2750000,Beverly Hills,sfh
  9617 Yoakum Dr,3,2,1592,03/18/2014Deasy Penner & Partners ,1489000,Beverly Hills,sfh
  9647 Heather Rd,4,4,3800,02/25/2014Coldwell Banker Residential Brokerage - BrentwoodFeatured ,1750000,Beverly Hills,sfh
  9653 Oak Pass Rd,5,6,5717,02/25/2014Hilton & Hyland ,5250000,Beverly Hills,sfh
  9719 Royce Ct,5,4.5,3600,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,2995000,Beverly Hills,sfh
  9755 Oak Pass Rd,3,3,2939,03/25/2014Nourmand & Associates-BH ,2260000,Beverly Hills,sfh
  9784 Drake Ln,4,4.5,4460,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,4950000,Beverly Hills,sfh
  9789 Tottenham Ct,4,4,2424,03/24/2014Sotheby's International Realty -Featured ,1795000,Beverly Hills,sfh
  9792 Suffolk Dr,4,4,3211,03/08/2014Partners Trust Real Estate Brokerage & Acquisitions ,2995000,Beverly Hills,sfh
  9800 San Cir,5,6,6007,03/24/2014Signature Properties ,5995000,Beverly Hills,sfh
  9819 Stan Pl,6,5,4940,03/20/2014Teles Properties ,2999995,Beverly Hills,sfh
  9820 Easton Dr,2,2,1110,03/08/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,875000,Beverly Hills,sfh
  9827 Easton Dr,2,3,2770,03/15/2014Keller Williams Realty Hollywood Hills ,1599000,Beverly Hills,sfh
  9844 Gloucester Dr,6,7,5371,03/25/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,3250000,Beverly Hills,sfh
  9901 Kip Dr,5,7,8100,03/21/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,7995000,Beverly Hills,sfh
  9903 Anthony Pl,5,5,3892,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,2749000,Beverly Hills,sfh
  9903 Kip Dr,5,6,5745,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,5250000,Beverly Hills,sfh
  9904 Kip Dr,10,22,29000,02/28/2014Hilton & Hyland ,4.30E+07,Beverly Hills,sfh
  9909 Beverly Grove Dr,4,6,7500,03/07/2014Hilton & Hyland ,13490000,Beverly Hills,sfh
  9959 Westwanda Dr,2,2,1295,02/17/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,995000,Beverly Hills,sfh
  9962 Westwanda Dr,3,3,2370,03/24/2014Rodeo Realty Inc. ,1169000,Beverly Hills,sfh
  9969 Westwanda Dr,3,3,2392,03/18/2014Deasy Penner & Partners ,1575000,Beverly Hills,sfh
  Address Not Available,10,11.5,18000,12/14/2013Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,19950000,Beverly Hills,sfh
  Bcdr,3,3,3100,03/21/2014Re/Max Tri-City ,1688800,Beverly Hills,sfh
  Beverly Grv,4,6,7500,03/15/2014Sunset Strip Realty ,13500000,Beverly Hills,sfh
  Maybrook Dr,5,5,3200,03/22/2014Hochman Advisors & Associates ,3650000,Beverly Hills,sfh
 1625 Summitridge Dr,4,4.5,5180,03/24/2014Coldwell Banker Residential Brokerage - Beverly Hills NorthFeatured ,6500000,Beverly Hills,sfh
 2524 Hutton Dr,4,4,2459,03/25/2014Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,1895000,Beverly Hills,sfh
 9570 Heather Rd,6,8,9623,12/11/2013Coldwell Banker Residential Brokerage - Beverly Hills SouthFeatured ,7695000,Beverly Hills,sfh
  10684 Cranks Rd,4,3,2410,03/24/2014Yager Realty Of CaliforniaFeatured ,1490000,culver city,sfh
  10815 Molony Rd,4,3,2247,02/15/2014RE/MAX ESTATE PROPERTIES ,1300000,culver city,sfh
  10855 Fairbanks Way,3,2.5,1421,12/11/2013,775000,culver city,sfh
  10860 Whitburn St,2,2,1340,03/19/2014Keller Williams Realty ,769000,culver city,sfh
  10966 Braddock Dr,3,3,1894,03/18/2014Daniel Kirkham Broker ,1100000,culver city,sfh
  11048 Wagner St,4,6,2599,03/17/2014Keller WilliamsFeatured ,1289000,culver city,sfh
  11124 Pickford Way,4,2,1676,03/03/2014Keller WilliamsFeatured ,1049000,culver city,sfh
  11172 Braddock Dr,3,3,2066,03/25/2014South Coast Real Estate Group ,1095000,culver city,sfh
  11201 Segrell Way,3,3,2343,03/07/2014Keller Williams Palos Verdes Realty ,974900,culver city,sfh
  11220 Ryandale Dr,3,2,1287,03/20/2014Heyler Realty ,779000,culver city,sfh
  11941 Mcdonald St,4,3,1480,03/18/2014Andrew Watkins Esq. ,899000,culver city,sfh
  11953 Wagner St,5,3,2097,03/18/2014CENTURY 21 Union Realty Co. Inc. ,760000,culver city,sfh
  12025 Culver Dr,3,3,1608,03/22/2014Innovative Property Strategies ,699000,culver city,sfh
  12140 Havelock Ave,4,3,1650,02/10/2014Flying V Realty ,798000,culver city,sfh
  12208 Havelock Ave,3,2,1421,03/10/2014Keller Williams - Marina/LAFeatured ,849000,culver city,sfh
  3827 Goldwyn Ter,4,3,1577,03/21/2014CENTURY 21 MastersFeatured ,799888,culver city,sfh
  3911 Prospect Ave,7,7,4104,03/24/2014Rodeo Realty Inc. ,1495000,culver city,sfh
  4071 Lafayette Pl Apt 2,3,3.5,2388,03/24/2014The Real Estate Consultants ,974000,culver city,sfh
  4116 Higuera St,3,2,970,03/18/2014Coldwell Banker Residential Brokerage - Pacific PalisadesFeatured ,679000,culver city,sfh
  4186 Center St,3,1,1020,03/22/2014Keller Williams Santa Monica ,765000,culver city,sfh
  4208 Jasmine Ave,3,2,1312,02/12/2014AskTaunee.com ,969000,culver city,sfh
  4271 Madison Ave,5,4,3348,03/15/2014Keller Williams Hollywood Hills ,1898000,culver city,sfh
  4831 Berryman Ave,5,2,1646,12/14/2013Keller WilliamsFeatured ,699000,culver city,sfh
  5005 Purdue Ave,3,3,1518,03/19/2014Teles Properties ,699000,culver city,sfh
  5041 Purdue Ave,2,1,1149,03/11/2014Keller Williams ,675900,culver city,sfh
  5352 Emporia Ave,4,3,1719,03/06/2014RE/MAX ESTATE PROPERTIES ,755000,culver city,sfh
  6116 Melvil St,2,2,1100,03/19/2014Teles Properties ,740000,culver city,sfh
  9011 Krueger St,3,2,1520,03/18/2014John Aaroe Group ,969000,culver city,sfh
 4025 Coogan Cir,3,3,1943,03/25/2014Coldwell Banker Residential Brokerage - Santa Monica WestwoodFeatured ,1100000,culver city,sfh
3420 Sherbourne Dr,3,2.5,1545,03/04/2014RE/MAX Olson and Associates - CA ,2195,culver city,sfh
 ,2,1,690,03/06/2014Norwood Realty ,499500,Palms,sfh
  1901 S Corning St,3,3,1720,03/23/2014Nelson Shelton & Associates ,749000,Palms,sfh
  1911 Chariton St,3,2,1449,03/03/2014RE/MAX ESTATE PROPERTIES ,699900,Palms,sfh
  2006 Preuss Rd,3,3,1387,03/23/2014Keller Williams Santa MonicaFeatured ,819000,Palms,sfh
